BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),BuildingAge,SiteEnergyUse_log,PropertyGFATotal_log,Distance_to_Center,Neighborhood_Cluster,Is_Downtown,Rotated_Lat,Rotated_Lon,Surface_Cluster
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,7226362.5,89,15.793246355498427,11.390011790064813,0.8000502801282303,3,1,102.40236973006546,-82.14170718792663,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,8387933.0,20,15.942304683370711,11.547964369614744,0.7870765132003066,3,1,102.40117977470712,-82.13770612478726,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,43.0,72587024.0,47,18.10029673103805,13.770628248175832,0.9701094014976077,3,1,102.40392295401399,-82.14093745072105,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,6794584.0,90,15.731636382206883,11.023861332985751,0.9441393453426475,3,1,102.4033574988407,-82.13957805363152,Surf_Group_1
NonResidential,Hotel,98121.0,7,DOWNTOWN,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,75.0,14172606.0,36,16.466821504425866,12.0758500584802,1.0480915783667253,3,1,102.40495206944132,-82.143079930928,Surf_Group_0
Nonresidential COS,Other,98101.0,7,DOWNTOWN,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,72.0,12086616.0,17,16.307609282667034,11.485430930660835,1.1645352602472578,3,1,102.40514981244269,-82.13846243185324,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,5758795.0,90,15.566238809397522,11.326692267676115,0.8579480024178852,3,1,102.40126197325188,-82.1363884968431,Surf_Group_1
NonResidential,Other,98101.0,7,DOWNTOWN,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,72.0,6298131.5,90,15.655763560069461,11.540161182589472,0.7881029529701082,3,1,102.3999813772475,-82.13543043949954,Surf_Group_0
NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,43.0,13723820.0,112,16.43464356716476,12.007524141071345,0.36466678110580003,3,1,102.39167033482639,-82.14169529176235,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,30.0,16016644.0,47,16.589138989518958,11.939257992759025,0.17419799235499353,3,1,102.39589809669557,-82.14099799012207,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,36.0,26941110.0,18,17.10916393077029,12.716426157869101,0.13368098560982342,3,1,102.39559898126825,-82.14011990700462,Surf_Group_0
NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,48.0,6596057.5,88,15.701982680028118,11.08228100083132,0.1345812813958709,3,1,102.39559273771172,-82.14038909284749,Surf_Group_1
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,58.0,22325364.0,36,16.921233989185183,12.66334558229709,0.21016375993614167,3,1,102.39587536565588,-82.13867861880641,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,35.0,10750010.0,94,16.19041724277007,11.43160694379264,0.15226185761955,3,1,102.39556771193784,-82.13922574693562,Surf_Group_0
